step,loss,acc_top1,acc_top5,learning_rate
20400,1.0828536748886108,78.90625,89.84375,0.0003
20500,0.7299470901489258,82.03125,94.53125,0.0003
20600,0.9291727542877197,80.46875,90.625,0.0003
20700,0.6776776313781738,85.546875,93.75,0.0003
20800,0.9104292988777161,82.421875,89.84375,0.0003
20900,0.9955769777297974,76.953125,87.890625,0.0003
21000,0.9446299076080322,79.296875,90.234375,0.0003
21100,0.7790794372558594,82.8125,91.015625,0.0003
21200,0.8609093427658081,82.421875,91.40625,0.0003
21300,0.9825721979141235,77.34375,87.109375,0.0003
21400,0.6740454435348511,86.328125,94.53125,0.0003
21500,0.8648091554641724,80.46875,90.625,0.0003
21600,0.8266469240188599,83.59375,93.75,0.0003
21700,0.7699839472770691,83.59375,93.75,0.0003
21800,0.6751518249511719,84.765625,94.53125,0.0003
21900,0.8381181359291077,84.765625,90.625,0.0003
22000,0.9763264656066895,82.8125,89.84375,0.0003
22100,0.6976317763328552,84.375,92.96875,0.0003
22200,0.7303120493888855,84.765625,94.140625,0.0003
22300,0.6731172204017639,83.984375,94.53125,0.0003
22400,0.6735795736312866,83.984375,94.140625,0.0003
22500,0.9654431343078613,77.34375,89.84375,0.0003
22600,0.7386391758918762,81.640625,94.53125,0.0003
22700,0.7672277092933655,83.59375,93.359375,0.0003
22800,0.6586459279060364,85.546875,92.96875,0.0003
22900,0.9498133659362793,80.46875,87.5,0.0003
23000,0.9110214710235596,80.46875,90.625,0.0003
23100,0.8674565553665161,80.859375,89.84375,0.0003
23200,0.8045636415481567,82.8125,91.40625,0.0003
23300,0.5943333506584167,89.453125,94.140625,0.0003
23400,0.6725931763648987,86.71875,94.921875,0.0003
23500,0.9223810434341431,78.125,89.0625,0.0003
23600,0.8654446601867676,83.203125,92.578125,0.0003
23700,0.9006878137588501,78.125,91.015625,0.0003
23800,0.6507394909858704,87.5,93.359375,0.0003
23900,0.6860824823379517,85.15625,93.75,0.0003
24000,0.860248327255249,81.640625,91.796875,0.0003
24100,1.1318066120147705,75.78125,89.84375,0.0003
24200,0.9848294258117676,78.515625,88.671875,0.0003
24300,0.8714327216148376,83.59375,91.015625,0.0003
24400,0.8873805999755859,82.8125,89.453125,0.0003
24500,0.5177326798439026,90.234375,95.703125,0.0003
24600,0.8745949268341064,82.03125,92.96875,0.0003
24700,0.7710413932800293,82.03125,96.09375,0.0003
24800,0.8137139081954956,82.8125,93.75,0.0003
24900,0.7527070045471191,81.640625,94.140625,0.0003
25000,0.962466299533844,81.25,89.0625,0.0003
25100,0.8901510834693909,82.8125,91.40625,0.0003
25200,0.8060418367385864,80.859375,92.1875,0.0003
25300,0.8696722984313965,81.640625,91.40625,0.0003
25400,0.7777249813079834,83.59375,94.140625,0.0003
25500,0.4915561079978943,89.84375,95.703125,0.0003
25600,0.8096281290054321,83.203125,92.1875,0.0003
25700,0.9081699252128601,83.203125,89.84375,0.0003
25800,0.5873150825500488,86.328125,95.3125,0.0003
25900,0.8342181444168091,80.859375,91.40625,0.0003
26000,0.9571619629859924,80.859375,90.234375,0.0003
26100,0.7504003047943115,84.765625,93.359375,0.0003
26200,0.7764144539833069,82.421875,93.75,0.0003
26300,0.6618872880935669,87.890625,91.796875,0.0003
26400,0.8305217623710632,80.078125,92.1875,0.0003
26500,0.8358730673789978,80.078125,91.40625,0.0003
26600,0.8692900538444519,82.8125,93.359375,0.0003
